Dataset,c,k,m,M_NUM,PIVOT,Q_NUM,R_MIN,RATIO,RECALL,AVG_TIME,COST,DATE
deep,1.5,20,15,16,5,100,1,1.00121,0.956,237.671,0.143559,834.939,
deep,1.5,30,15,16,5,100,1,1.00121,0.967333,237.671,0.143559,834.939,
deep,1.5,40,15,16,5,100,1,1.00121,0.96475,237.671,0.143559,834.939,
deep,1.5,50,15,16,5,100,1,1.00121,0.9354,237.671,0.143559,834.939,
deep,1.5,60,15,16,5,100,1,1.00121,0.954167,237.671,0.143559,834.939,
deep,1.5,70,15,16,5,100,1,1.00121,0.940857,237.671,0.143559,834.939,
deep,1.5,80,15,16,5,100,1,1.00121,0.947375,237.671,0.143559,834.939,
deep,1.5,90,15,16,5,100,1,1.00121,0.919222,237.671,0.143559,834.939,
deep,1.5,100,15,16,5,100,1,1.00121,0.9461,237.671,0.143559,834.939,
trevi,1.5,1,15,16,5,100,1,1,1,53.7698,0.106488,834.939,
trevi,1.5,10,15,16,5,100,1,1.00023,0.988,53.7698,0.106488,834.939,
trevi,1.5,20,15,16,5,100,1,1.00054,0.9775,53.7698,0.106488,834.939,
trevi,1.5,30,15,16,5,100,1,1.00054,0.981667,53.7698,0.106488,834.939,
trevi,1.5,40,15,16,5,100,1,1.00054,0.97925,53.7698,0.106488,834.939,
trevi,1.5,50,15,16,5,100,1,1.00054,0.9542,53.7698,0.106488,834.939,
trevi,1.5,60,15,16,5,100,1,1.00054,0.972167,53.7698,0.106488,834.939,
trevi,1.5,70,15,16,5,100,1,1.00054,0.954143,53.7698,0.106488,834.939,
trevi,1.5,80,15,16,5,100,1,1.00054,0.967125,53.7698,0.106488,834.939,
trevi,1.5,90,15,16,5,100,1,1.00054,0.936111,53.7698,0.106488,834.939,
trevi,1.5,100,15,16,5,100,1,1.00054,0.9652,53.7698,0.106488,834.939,
